feature,event_importance,risk_importance,combined_importance
device_id_JAL-008,0.003888889,0.00015078436,0.004039673
device_id_JAL-017,0.0037774083,0.00011697067,0.003894379
device_id_JAL-019,0.0036762669,0.000121683624,0.0037979505
device_id_JAL-074,0.003672413,0.000121854435,0.0037942675
device_id_JAL-031,0.003698287,8.3523126e-05,0.0037818102
device_id_JAL-085,0.0035945165,9.661366e-05,0.0036911303
device_id_JAL-079,0.0035856515,8.719407e-05,0.0036728457
device_id_JAL-018,0.0034995384,0.00010145922,0.0036009976
device_id_JAL-072,0.0027687706,0.00019064586,0.0029594165
device_id_JAL-100,0.002826123,8.239461e-05,0.0029085176
water_trend_RAPID_FALL,0.002627969,0.00018060046,0.0028085695
historical_max_level,0.0015426667,0.0009449874,0.002487654
historical_avg_rise_rate,0.0019445404,0.00016572027,0.0021102608
historical_avg_level,0.0015443111,6.365707e-05,0.0016079681
historical_max_rise_rate,0.001385062,9.603107e-05,0.0014810931
water_trend_FALLING,0.0014109206,6.122537e-05,0.001472146
day_of_week,0.0013041868,7.219154e-05,0.0013763783
hour_cos,0.0008647403,4.882266e-05,0.00091356295
temperature,0.0007900333,5.005157e-05,0.00084008486
hour,0.000745575,5.4100892e-05,0.0007996759
hour_sin,0.0007287896,4.9529877e-05,0.0007783195
